id;titel;kategorie;Datum;Was & Wo;text;stadtteil-json;bild;Stadtteil;stadtteil_id
1894808;Restmüll;Restmüll;2025-08-27;Restmüll vierzehntägig Mainviertel;;"{""@id"": ""403103"", ""name"": ""Mainviertel""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Mainviertel;403103
1894861;Restmüll;Restmüll;2025-08-27;Restmüll vierzehntägig Ober- und Unterdürrbach, Dürrbachau mit Hafen;;"{""@id"": ""19936"", ""name"": ""Dürrbach alle mit Hafen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Dürrbach alle mit Hafen;19936
1895209;Gelber Sack;Gelbe Säcke;2025-08-27;Gelber Sack vierzehntägig Pilziggrund;;"{""@id"": ""401083"", ""name"": ""Pilziggrund""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406383_gelbersack2.jpg;Pilziggrund;401083
1879042;Papier;Papier;2025-08-28;Papier vierzehntägig Neumühle;;"{""@id"": ""506176"", ""name"": ""Neumühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406378_papiertonne.jpg;Neumühle;506176
1894268;Papier;Papier;2025-08-28;Papier vierzehntägig Grombühl;;"{""@id"": ""19938"", ""name"": ""Grombühl""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406378_papiertonne.jpg;Grombühl;19938
1894294;Papier;Papier;2025-08-28;Papier vierzehntägig Lindleinsmühle;;"{""@id"": ""19942"", ""name"": ""Lindleinsmühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406378_papiertonne.jpg;Lindleinsmühle;19942
1894782;Restmüll;Restmüll;2025-08-28;Restmüll vierzehntägig Heidingsfeld;;"{""@id"": ""19939"", ""name"": ""Heidingsfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Heidingsfeld;19939
1894905;Restmüll;Restmüll;2025-08-28;Restmüll vierzehntägig Heuchelhof innen	innerhalb des Straßburger Rings;;"{""@id"": ""403108"", ""name"": ""Heuchelhof innen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Heuchelhof innen;403108
1895236;Gelber Sack;Gelbe Säcke;2025-08-28;Gelber Sack vierzehntägig Grombühl;;"{""@id"": ""19938"", ""name"": ""Grombühl""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406383_gelbersack2.jpg;Grombühl;19938
1896587;Bioabfall;Biomüll;2025-08-28;Bioabfall Neumühle;;"{""@id"": ""506176"", ""name"": ""Neumühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Neumühle;506176
1895262;Gelber Sack;Gelbe Säcke;2025-08-28;Gelber Sack vierzehntägig Lindleinsmühle;;"{""@id"": ""19942"", ""name"": ""Lindleinsmühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406383_gelbersack2.jpg;Lindleinsmühle;19942
1895368;Gelber Sack;Gelbe Säcke;2025-08-28;Gelber Sack vierzehntägig Neumühle;;"{""@id"": ""506176"", ""name"": ""Neumühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406383_gelbersack2.jpg;Neumühle;506176
1896018;Bioabfall;Biomüll;2025-08-28;Bioabfall Heidingsfeld;;"{""@id"": ""19939"", ""name"": ""Heidingsfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Heidingsfeld;19939
1896157;Bioabfall;Biomüll;2025-08-28;Bioabfall Heuchelhof innen	innerhalb des Straßburger Rings;;"{""@id"": ""403108"", ""name"": ""Heuchelhof innen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Heuchelhof innen;403108
1896226;Bioabfall;Biomüll;2025-08-28;Bioabfall Grombühl;;"{""@id"": ""19938"", ""name"": ""Grombühl""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Grombühl;19938
1896277;Bioabfall;Biomüll;2025-08-28;Bioabfall Lindleinsmühle;;"{""@id"": ""19942"", ""name"": ""Lindleinsmühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Lindleinsmühle;19942
1781762;Mobile Problemmüll- und Wertstoffsammlung;Wertstoffmobil;2025-08-28;Zellerau, Wredestraße (Glascontainer), 8:30 - 9:30 Uhr;;"{""@id"": ""19946"", ""name"": ""Zellerau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/445677_wertstoff.jpg;Zellerau;19946
1837246;Mobile Problemmüll- und Wertstoffsammlung;Wertstoffmobil;2025-08-28;Dürrbachau, Alfred-Nobelstraße (ggü. Lebensmittelmarkt), 10:00 - 11:00 Uhr;;"{""@id"": ""19936"", ""name"": ""Dürrbach alle mit Hafen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/445677_wertstoff.jpg;Dürrbach alle mit Hafen;19936
1894320;Papier;Papier;2025-08-29;Papier vierzehntägig  Sanderau;;"{""@id"": ""19943"", ""name"": ""Sanderau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406378_papiertonne.jpg;Sanderau;19943
1894756;Restmüll;Restmüll;2025-08-29;Restmüll vierzehntägig Heuchelhof außen	außerhalb des Straßburger Rings;;"{""@id"": ""403107"", ""name"": ""Heuchelhof aussen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Heuchelhof aussen;403107
1894835;Restmüll;Restmüll;2025-08-29;Restmüll vierzehntägig Rottenbauer;;"{""@id"": ""19940"", ""name"": ""Rottenbauer""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Rottenbauer;19940
1894906;Restmüll;Restmüll;2025-08-29;Restmüll vierzehntägig Heuchelhof innen	innerhalb des Straßburger Rings;;"{""@id"": ""403108"", ""name"": ""Heuchelhof innen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Heuchelhof innen;403108
1895289;Gelber Sack;Gelbe Säcke;2025-08-29;Gelber Sack vierzehntägig  Sanderau;;"{""@id"": ""19943"", ""name"": ""Sanderau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406383_gelbersack2.jpg;Sanderau;19943
1895809;Bioabfall;Biomüll;2025-08-29;Bioabfall Heuchelhof außen	außerhalb des Straßburger Rings;;"{""@id"": ""403107"", ""name"": ""Heuchelhof aussen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Heuchelhof aussen;403107
1896158;Bioabfall;Biomüll;2025-08-29;Bioabfall Heuchelhof innen	innerhalb des Straßburger Rings;;"{""@id"": ""403108"", ""name"": ""Heuchelhof innen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Heuchelhof innen;403108
1896328;Bioabfall;Biomüll;2025-08-29;Bioabfall Sanderau;;"{""@id"": ""19943"", ""name"": ""Sanderau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Sanderau;19943
1895394;Gelber Sack;Gelbe Säcke;2025-09-01;Gelber Sack Steinbachtal;;"{""@id"": ""19944"", ""name"": ""Steinbachtal""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406386_gelbersack2.jpg;Steinbachtal;19944
1895706;Bioabfall;Biomüll;2025-09-01;Bioabfall Rottenbauer;;"{""@id"": ""19940"", ""name"": ""Rottenbauer""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Rottenbauer;19940
1895860;Bioabfall;Biomüll;2025-09-01;Bioabfall Steinbachtal;;"{""@id"": ""19944"", ""name"": ""Steinbachtal""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Steinbachtal;19944
1896432;Bioabfall;Biomüll;2025-09-01;Bioabfall Frauenland;;"{""@id"": ""19937"", ""name"": ""Frauenland""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Frauenland;19937
1894346;Papier;Papier;2025-09-01;Papier Steinbachtal;;"{""@id"": ""19944"", ""name"": ""Steinbachtal""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Steinbachtal;19944
1894966;Restmüll;Restmüll;2025-09-01;Restmüll vierzehntägig Frauenland;;"{""@id"": ""19937"", ""name"": ""Frauenland""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Frauenland;19937
1894371;Papier;Papier;2025-09-02;Papier vierzehntägig Versbach;;"{""@id"": ""19945"", ""name"": ""Versbach""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Versbach;19945
1894940;Restmüll;Restmüll;2025-09-02;Restmüll vierzehntägig Altstadt ohne Mainviertel;;"{""@id"": ""19935"", ""name"": ""Altstadt""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Altstadt;19935
1895446;Gelber Sack;Gelbe Säcke;2025-09-02;Gelber Sack vierzehntägig Versbach;;"{""@id"": ""19945"", ""name"": ""Versbach""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406386_gelbersack2.jpg;Versbach;19945
1895757;Bioabfall;Biomüll;2025-09-02;Bioabfall Versbach;;"{""@id"": ""19945"", ""name"": ""Versbach""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Versbach;19945
1896536;Bioabfall;Biomüll;2025-09-02;Bioabfall Altstadt ohne Mainviertel;;"{""@id"": ""19935"", ""name"": ""Altstadt""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Altstadt;19935
1896380;Bioabfall;Biomüll;2025-09-03;Bioabfall Pilziggrund;;"{""@id"": ""401083"", ""name"": ""Pilziggrund""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Pilziggrund;401083
1896484;Bioabfall;Biomüll;2025-09-03;Bioabfall Lengfeld;;"{""@id"": ""19941"", ""name"": ""Lengfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Lengfeld;19941
1894396;Papier;Papier;2025-09-03;Papier vierzehntägig Zellerau ohne Mainviertel;;"{""@id"": ""19946"", ""name"": ""Zellerau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Zellerau;19946
1894525;Papier;Papier;2025-09-03;Papier vierzehntägig Ober- und Unterdürrbach, Dürrbachau mit Hafen;;"{""@id"": ""19936"", ""name"": ""Dürrbach alle mit Hafen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Dürrbach alle mit Hafen;19936
1894555;Papier;Papier;2025-09-03;Papier vierzehntägig Mainviertel;;"{""@id"": ""403103"", ""name"": ""Mainviertel""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Mainviertel;403103
1894992;Restmüll;Restmüll;2025-09-03;Restmüll vierzehntägig Lengfeld;;"{""@id"": ""19941"", ""name"": ""Lengfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Lengfeld;19941
1895070;Restmüll;Restmüll;2025-09-03;Restmüll vierzehntägig Pilziggrund;;"{""@id"": ""401083"", ""name"": ""Pilziggrund""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Pilziggrund;401083
1895420;Gelber Sack;Gelbe Säcke;2025-09-03;Gelber Sack vierzehntägig Ober- und Unterdürrbach, Dürrbachau mit Hafen;;"{""@id"": ""19936"", ""name"": ""Dürrbach alle mit Hafen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406386_gelbersack2.jpg;Dürrbach alle mit Hafen;19936
1895524;Gelber Sack;Gelbe Säcke;2025-09-03;Gelber Sack vierzehntägig Mainviertel;;"{""@id"": ""403103"", ""name"": ""Mainviertel""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406386_gelbersack2.jpg;Mainviertel;403103
1895551;Gelber Sack;Gelbe Säcke;2025-09-03;Gelber Sack vierzehntägig Zellerau ohne Mainviertel;;"{""@id"": ""19946"", ""name"": ""Zellerau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406386_gelbersack2.jpg;Zellerau;19946
1895913;Bioabfall;Biomüll;2025-09-03;Bioabfall Zellerau;;"{""@id"": ""19946"", ""name"": ""Zellerau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Zellerau;19946
1895966;Bioabfall;Biomüll;2025-09-03;Bioabfall Mainviertel;;"{""@id"": ""403103"", ""name"": ""Mainviertel""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Mainviertel;403103
